"","Nome do Contrato","Inscrição Genérica","Mutuário","Tipo Mutuário","UF","Região","Agrupador de Tipo Mutuário","CAPAG","Tipo","Credor","Classificação de Credor","Contragarantia","Fase","Projeto","Número do Processo","ROF/CADIP","Data de Assinatura","Data Limite de Desembolso","Indexador do Contrato","Tipo de Indexador de Juros","Indexador de Juros","Moeda","Valor Contratado Original","Saldo a Desembolsar","Saldo Devedor","Mutuario","Assinatura","Ano","Status","Tipo_Mutuario"
"11","BB - 2012735",12465,"Rio de Janeiro","Estados","RJ","Sudeste","Garantias a Estados, Municípios e Entidades Controladas","D","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Programa de Melhoria da Infraestrutura Rodoviária, Urbana, e da Mobilidade das Cidades do Estado do Rio de Janeiro - PRÓ-CIDADES (Lei estadual nº 6183, de 22 de Março de 2012)","17944.000532/2012-31","2012000998","05/06/2012","31/03/2018","DOLAR-DOS-EUA - PARIDADE VENDA","Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% Libor + 3,85%, Tranche Prevista 1: 100% Libor + 3,85%","R$",3645.563,0,5269467106.27,"Rio de Janeiro",2012-06-05,2012,"Ativo","Estados"
"12","BB - 2012769",12464,"Rio de Janeiro","Estados","RJ","Sudeste","Garantias a Estados, Municípios e Entidades Controladas","D","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","""Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE - Resolução CMN nº 4.109, de 05/07/2012, que alterou o art. 9º-N da Resolução nº 2.827, de 30 de
março de 2001.""","17944.001308/2012-67","2012001828","12/12/2012","31/03/2018","TJLP","Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%","R$",940.95677322,0,706303897.95,"Rio de Janeiro",2012-12-12,2012,"Ativo","Estados"
"13","BB - 2012772",12468,"Acre","Estados","AC","Norte","Garantias a Estados, Municípios e Entidades Controladas","B","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE - art 9º-N da Resolução CMN nº 2.827, de 30 de março de 2001, alterada pelas Resoluções nº 4.109, de 05/07/2012, nº 4.155, de 01/11/2012, e nº 4.156, de 07/11/2012. Lei estadual nº 2.566, de 13/07/2012","17944.001406/2012-02","2013000004, 2018000203","20/12/2012","31/03/2018","TJLP","Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Efetiva 2: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%","R$",69.3895831,0,60161925.51,"Acre",2012-12-20,2012,"Ativo","Estados"
"14","BB - 2012784",12448,"Tocantins","Estados","TO","Norte","Garantias a Estados, Municípios e Entidades Controladas","C","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE - art 9º-N da Resolução CMN nº 2.827, de 30 de março de 2001, alterada pelas Resoluções nº 4.109, de 05/07/2012, nº 4.155, de 01/11/2012, e nº 4.156, de 07/11/2012. Lei estadual nº 2.615, de 26/07/2012","17944.001252/2012-41","2012001845","20/12/2012","31/03/2018","TJLP","Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%","R$",553.3676687,0,418173745.41,"Tocantins",2012-12-20,2012,"Ativo","Estados"
"15","BB - 2012786",12471,"Rio Grande do Sul","Estados","RS","Sul","Garantias a Estados, Municípios e Entidades Controladas","D","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE - art 9º-N da Resolução CMN nº 2.827, de 30 de março de 2001, alterada pelas Resoluções nº 4.109, de 05/07/2012, nº 4.155, de 01/11/2012, e nº 4.156, de 07/11/2012.","17944.001342/2012-31","2012001841, 2018000204","20/12/2012","31/12/2018","TJLP","Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Efetiva 2: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%","R$",785.0188125,0,683687531.89,"Rio Grande do Sul",2012-12-20,2012,"Ativo","Estados"
"16","BB - 2012790",12463,"Minas Gerais","Estados","MG","Sudeste","Garantias a Estados, Municípios e Entidades Controladas","D","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","""Programa de Desenvolvimento de Minas Gerais ¿ PDMG - (Lei estadual nº 20.444, de 19 de novembro de 2012)
""","17944.001412/2012-51","2013000008","26/12/2012","31/03/2018","DOLAR-DOS-EUA - PARIDADE VENDA","Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% Libor + 3,6%, Tranche Prevista 1: 100% Libor + 3,6%","R$",3653.733,0,5783815333.7,"Minas Gerais",2012-12-26,2012,"Ativo","Estados"
"17","BB - 2012796",12441,"Ceará","Estados","CE","Nordeste","Garantias a Estados, Municípios e Entidades Controladas","B","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE","17944.001394/2012-16","2018000199, 2013000003","21/12/2012","31/12/2017","TJLP","Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Efetiva 2: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%","R$",838.90237667,0,732724190.11,"Ceara",2012-12-21,2012,"Ativo","Estados"
"18","BB - 2012800",12440,"Amazonas","Estados","AM","Norte","Garantias a Estados, Municípios e Entidades Controladas","B","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE","17944.001457/2012-26","2013000009","21/12/2012","31/12/2017","TJLP","Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%","R$",517.493,0,410625821.9,"Amazonas",2012-12-21,2012,"Ativo","Estados"
"19","BB - 2012802",12437,"Mato Grosso","Estados","MT","Centro-Oeste","Garantias a Estados, Municípios e Entidades Controladas","C","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Desembolsando e Amortizando","Investimentos em ampliação e melhoria da infraestrutura viária constantes do Programa Mato Grosso Integrado, Sustentável e Competitivo (Lei nº 9.763, de 21 de junho de 2012) - Subcrédito B","17944.001241/2012-61","2013000012, 2013000011, 2013000010","27/12/2012","29/02/2020","TJLP","Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Efetiva 3: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% TJLP + 3,8%, Tranche Efetiva 2: 100% TJLP + 3,8%, Tranche Efetiva 3: 100% TJLP + 3,8%, Tranche Prevista 1: 100% TJLP + 3,8%","R$",1416.67,1.25e+08,687464682.64,"Mato Grosso",2012-12-27,2012,"Ativo","Estados"
"20","BB - 2012805",12439,"Mato Grosso","Estados","MT","Centro-Oeste","Garantias a Estados, Municípios e Entidades Controladas","C","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE","17944.001388/2012-51","2013000013, 2018000206","27/12/2012","31/12/2017","TJLP","Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Efetiva 2: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%","R$",460.06842,0,400678012.59,"Mato Grosso",2012-12-27,2012,"Ativo","Estados"
"21","BB - 2012810",12456,"Roraima","Estados","RR","Norte","Garantias a Estados, Municípios e Entidades Controladas","C","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE","17944.001393/2012-63","2012001840","21/12/2012","31/12/2017","TJLP","Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%","R$",365.496,0,276067138.22,"Roraima",2012-12-21,2012,"Ativo","Estados"
"22","BB - 2012820",12438,"Rondônia","Estados","RO","Norte","Garantias a Estados, Municípios e Entidades Controladas","B","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Desembolsando e Amortizando","Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE - art 9º-N da Resolução CMN nº 2.827, de 30 de março de 2001, alterada pelas Resoluções nº 4.109, de 05/07/2012, nº 4.155, de 01/11/2012, e nº 4.156, de 07/11/2012. Lei estadual nº 2.851, de 24/09/2012","17944.001413/2012-04","2013000017","26/12/2012","29/02/2020","TJLP","Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%","R$",438.921139,46984000,286630238.78,"Rondonia",2012-12-26,2012,"Ativo","Estados"
"23","BB - 2013836",12443,"Rio Grande do Norte","Estados","RN","Nordeste","Garantias a Estados, Municípios e Entidades Controladas","C","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Desembolsando e Amortizando","Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE","17944.001447/2012-91","2013000109","29/01/2013","29/02/2020","TJLP","Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%","R$",363.851,18191171.58,258873251.03,"Rio Grande do Norte",2013-01-29,2013,"Ativo","Estados"
"24","BB - 2013850",12431,"Rio de Janeiro","Estados","RJ","Sudeste","Garantias a Estados, Municípios e Entidades Controladas","D","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Programa de Melhoria da Infra-estrutura do Estado do Rio de Janeiro para Grandes Eventos - PRÓ-CIDADES II/RJ","17944.000159/2013-08","2013000326","26/04/2013","31/12/2019","DOLAR-DOS-EUA - PARIDADE VENDA","Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% Libor + 3,73%, Tranche Prevista 1: 100% Libor + 3,73%","R$",3135.8,0,4351742220,"Rio de Janeiro",2013-04-26,2013,"Ativo","Estados"
"25","BB - 2013877",12470,"Santa Catarina","Estados","SC","Sul","Garantias a Estados, Municípios e Entidades Controladas","C","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Projetos Caminhos Estratégicos da Produção e Prevenção de Desastres Naturais (Lei nº 15.941, de 20 de dezembro de 2012).","17944.000233/2013-88","2013000486","18/07/2013","31/12/2018","DOLAR-DOS-EUA - PARIDADE VENDA","Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% Libor + 3,75%, Tranche Prevista 1: 100% Libor + 3,75%","R$",1056.4,0,1314500968.63,"Santa Catarina",2013-07-18,2013,"Ativo","Estados"
"26","BB - 2013879",12453,"Piauí","Estados","PI","Nordeste","Garantias a Estados, Municípios e Entidades Controladas","B","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Pró-Desenvolvimento II. Lei estadual nº 6.278, de 31/10/2012","17944.000199/2013-41","2015000781","04/07/2013","31/03/2018","DOLAR-DOS-EUA - PARIDADE VENDA","Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% Libor + 4,5572%, Tranche Prevista 1: 100% Libor + 4,5572%","R$",599.978,0,716074848.55,"Piaui",2013-07-04,2013,"Ativo","Estados"
"27","BB - 2013887",12447,"São Paulo","Estados","SP","Sudeste","Garantias a Estados, Municípios e Entidades Controladas","B","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Programa de Investimento do Estado de São Paulo","17944.000370/2013-12","2013000580","04/09/2013","31/12/2017","DOLAR-DOS-EUA - PARIDADE VENDA","Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% Libor + 3,73%, Tranche Prevista 1: 100% Libor + 3,73%","R$",2000,0,3304570015.23,"Sao Paulo",2013-09-04,2013,"Ativo","Estados"
"28","BB - 2013889",12446,"Goiás","Estados","GO","Centro-Oeste","Garantias a Estados, Municípios e Entidades Controladas","C","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","""Programa Goiás Estruturante, com programas e projetos referidos na Lei estadual nº 18.032, de 22/05/2013:","17944.000453/2013-10","2015000926","08/08/2013","31/01/2018","DOLAR-DOS-EUA - PARIDADE VENDA","Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% Libor + 4,051%, Tranche Prevista 1: 100% Libor + 4,051%","R$",1560,0,2214944806.72,"Goias",2013-08-08,2013,"Ativo","Estados"
"29","BB - 2013891",12450,"Tocantins","Estados","TO","Norte","Garantias a Estados, Municípios e Entidades Controladas","C","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Programa de Modernização do Estado e de sua Infraestrutura Econômica e Social - PROESTADO (Lei estadual nº 2.701, de 07/03/2013)","17944.000237/2013-66","2015001120","27/06/2013","31/03/2018","DOLAR-DOS-EUA - PARIDADE VENDA","Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% Libor + 4,31%, Tranche Prevista 1: 100% Libor + 4,31%","R$",390,0,513228067.87,"Tocantins",2013-06-27,2013,"Ativo","Estados"
"30","BB - 2013898",12457,"Minas Gerais","Estados","MG","Sudeste","Garantias a Estados, Municípios e Entidades Controladas","D","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Desembolsando e Amortizando","Programa de Infraestrutura Rodoviária","17944.000208/2013-02","2013000543","24/07/2013","29/02/2020","DOLAR-DOS-EUA - PARIDADE VENDA","Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% Libor + 3,73%, Tranche Prevista 1: 100% Libor + 3,73%","R$",1500,73105673,1918420781.37,"Minas Gerais",2013-07-24,2013,"Ativo","Estados"
"31","BB - 2013902",12452,"Amazonas","Estados","AM","Norte","Garantias a Estados, Municípios e Entidades Controladas","B","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Programa de Infraestrutura para Criação de Oportunidades no Amazonas - PROINFRA (Lei estadual nº 3.866, de 19/03/2013)","17944.000743/2013-55","2013000909","26/11/2013","31/01/2020",NA,"Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 120% CDI Juros + 0%, Tranche Prevista 1: 120% CDI Juros + 0%","R$",764,0,698373903.37,"Amazonas",2013-11-26,2013,"Ativo","Estados"
"32","BB - 2013907",12462,"Bahia","Estados","BA","Nordeste","Garantias a Estados, Municípios e Entidades Controladas","C","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Investimentos previstos no orçamento do Estado nas áreas de Segurança Pública e Prisional; Ciência, Tecnologia e Inovação; Saúde e Mobilidade Urbana. Lei estadual nº 12.627, de 28/12/2012. Incluído na destinação dos recursos, por meio de aditivo assinado em 09/09/2014, o Programa Infraestrutura de Transportes, autorizado pela Lei nº 12.931, de 03/01/2014","17944.000322/2013-24","2015000805","27/11/2013","31/12/2017","DOLAR-DOS-EUA - PARIDADE VENDA","Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% Libor + 4,425%, Tranche Prevista 1: 100% Libor + 4,425%","R$",1125.48,0,1418696814.28,"Bahia",2013-11-27,2013,"Ativo","Estados"
"33","BB - 2013943",12469,"Santa Catarina","Estados","SC","Sul","Garantias a Estados, Municípios e Entidades Controladas","C","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Desembolsando e Amortizando","Programa Pacto por Santa Catarina e (Lei nº 16.129, de 23 de setembro de 2013)","17944.001640/2013-11","2013000905","27/11/2013","29/02/2020",NA,"Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 120% CDI Juros + 0%, Tranche Prevista 1: 120% CDI Juros + 0%","R$",2000,1e+08,1716129032.26,"Santa Catarina",2013-11-27,2013,"Ativo","Estados"
"34","BB - 2013955",12445,"Paraná","Estados","PR","Sul","Garantias a Estados, Municípios e Entidades Controladas","B","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE","17944.001403/2012-61","2018000243, 2013001131","30/12/2013","31/12/2017","TJLP","Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% TJLP + 1,1%, Tranche Efetiva 2: 100% TJLP + 1,1%, Tranche Prevista 1: 100% TJLP + 1,1%","R$",816.83124058,0,723787078.94,"Parana",2013-12-30,2013,"Ativo","Estados"
"35","BB - 2014003",12442,"Distrito Federal","Estados","DF","Centro-Oeste","Garantias a Estados, Municípios e Entidades Controladas","C","Interna","BB","Bancos Federais","Transferências Constitucionais - Art. 155, 157 e 159 da CF/88","Amortizando","Contrapartidas das Obras do Programa de Aceleração do Crescimento (PAC), do Programa Minha Casa Minha Vida (PMCMV) e dos projetos de mobilidade urbana diretamente associados à Copa de 2014. Art. 9º-S da Resolução nº 2.827, de 30/03/2001, alterada pelas Resoluções nº 4.098, de 28 de junho de 2012, e nº 4.158, de 22/11/2012, ambas do Conselho Monetário Nacional. Leis Distritais nº 5.001, de 20/12/2012, e nº 5.282, de 24/12/2013","17944.000855/2014-97","2014001493","29/08/2014","31/01/2020","TJLP","Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado","Tranche Efetiva 1: 100% TJLP + 2,1%, Tranche Prevista 1: 100% TJLP + 2,1%","R$",67.78672882,0,38789697.51,"Distrito Federal",2014-08-29,2014,"Ativo","Estados"
